linha,nome
10/29,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
10/29,"Nova Natal/Nova Descoberta, via Cidade Praia/Campus"
18,Bairro Nordeste/Campus
30,"Felipe Camarão/Pirangi, via Candelária/Campus"
31,"Felipe Camarão/Pirangi, via Campus/Candelária"
48,"Santos Reis/Nova Descoberta, via Alecrim/Campus"
54A,"Ponta Negra/Campus, via Rua Walter Duarte Pereira"
57,"Mãe Luíza/Nova Descoberta, via Campus"
588,Circular UFRN (Inverso)
588,Circular UFRN (direto)
588,Circular UFRN (direto)
588,Circular UFRN (inverso)
588,Circular UFRN (inverso)
588,Circular UFRN (inverso) 
63,"Felipe Camarão/Campus, via Av. Bernardo Vieira"
66,"Ponta Negra/Cidade da Esperança, via Bom Pastor"
66,"Ponta Negra/Cidade da Esperança, via Bom Pastor"
